[u'8054'],"8""X12"" Pine Board",Home /|New Mexico Flag,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8054.jpg
[u'117'],3x9 inches,Home /|I (heart) snowdays,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/1/117.jpg,"['*Color Combinations - (See color chart above)', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'8043'],"8X10 inches

0","Home /|Believe - If you believe, he surely exists",https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_105.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Country Blue & Black text ']"
[u'6060'],"6x18 inches

0","Home /|Mirror, mirror on the wall, I am my mother after all!",https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_50.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
"[u'#961', u'8""X12""', u'Comes', u'on', u'White', u'board', u'with', u'black', u'text,', u'White', u'board', u'with', u'Gray', u'text,', u'Black', u'board', u'with', u'White', u'text,', u'or', u'Cream', u'board', u'with', u'Black', u'text.']","8""X12"" Item #961",Home /|Mrs - Bride & Groom,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/6/961_wht.jpg,"['*Color Choices', '', '-- Please Select --|Cream board w/ Black text |White board w/ Black text |White board w/ Gray text |Black board w/ Cream text ']"
[u'4015'],4x18 inches,Home /|Promise little do much,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/0/4015.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
"[u'48', u'comes', u'with', u'wire', u'hanger']","0



4x9 inches",Home /|I'm in the Garden (pansy),https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/4/048.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'6058'],"6x24 inches

0",Home /|A day in the country is better than a month in the city,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_68.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Mustard board w/Black text |Black board w/ Cream text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
"[u'Box', u'picture', u'frame', u'with', u'girl', u'Name', u'and', u'date.', u'Handmade', u'and', u'hand', u'painted', u'by', u'one', u'of', u'our', u'artist.']","10""X10"" on a 1 1/2"" deep box. Fits your 4"" X 6"" photo.
White Frame with Pink text, or Black Frame with White text.
Custom Box picture frame with girl Name and date. Handmade and hand painted by one of our artist.",Home /|Custom Picture Frame GIRL,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/e/personalized_girl_s_name.jpg,"['*Name', '', '-- Please Select --|Black frame, White text |As shown,White frame, Pink texttext ']"
[u'8047'],"8""X10""",Home /|Lions and Tigers and Bears,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8047.jpeg,"['*Color Combinations', '', '-- Please Select --|Black board w/ cream text |Cream board w/ Burgundy Red text |Give me the best color combo(s) available ']"
[u'1403'],"""Big Box"" Sign 9"" X 42"" tall, Antique look
White Wooden Box with Black Letters",Home /|LAUNDRY,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/a/laundry.jpg,"['*Color Combinations', '', '-- Please Select --|Black wood Box, White Letters |White wood Box, Black Letters ']"
